series;custom name;12–14 Dec;15–21 Dec;22–28 Dec;29-Dec-2025 – 4-Jan-2026;5–11 Jan;12–18 Jan;19–25 Jan;26-Jan – 1-Feb;2–8 Feb;9–15 Feb;16–22 Feb;23-Feb – 1-Mar;2–8 Mar;9–12 Mar
$pageview;Pageviews;0;0;0;156;430;589;973;1416;1625;2179;1840;2906;3693;2318
$pageview;Unique visitors;0;0;0;18;84;111;254;289;324;539;465;771;840;507
